provider,network_type,plan_name,download_speed,upload_speed,price,promo_price,promo_period,contract,typical_evening_dl,typical_evening_ul,source_url
telstra,5G,5G Business Internet,300,30,85.0,,,No Lock-in,300,30,https://www.telstra.com.au/small-business/internet
telstra,Business NBN,Essential nbn®,50,17,120.0,,,No Lock-in,50,17,https://www.telstra.com.au/small-business/internet
telstra,Business NBN,Essential nbn® Internet Only,50,17,95.0,,,No Lock-in,50,17,https://www.telstra.com.au/small-business/internet
telstra,Business NBN,Premium nbn®,100,32,100.0,,,No Lock-in,100,32,https://www.telstra.com.au/small-business/internet
telstra,Business NBN,Premium nbn® Internet Only,100,32,95.0,,,No Lock-in,100,32,https://www.telstra.com.au/small-business/internet
telstra,Business NBN,Pro Fast nbn®,250,80,100.0,,,No Lock-in,250,80,https://www.telstra.com.au/small-business/internet
telstra,Business NBN,Pro Fast nbn® Internet Only,250,80,95.0,,,No Lock-in,250,80,https://www.telstra.com.au/small-business/internet
telstra,Business NBN,Pro Superfast nbn® Internet Only,500,160,105.0,,,No Lock-in,500,160,https://www.telstra.com.au/small-business/internet
telstra,Business NBN,Pro Superfast nbn®,500,160,110.0,,,No Lock-in,500,160,https://www.telstra.com.au/small-business/internet
telstra,Business NBN,Pro Ultrafast nbn®,815,320,135.0,,,No Lock-in,815,320,https://www.telstra.com.au/small-business/internet
telstra,Business NBN,Pro Ultrafast nbn® Internet Only,815,320,129.0,,,No Lock-in,815,320,https://www.telstra.com.au/small-business/internet
